,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL1865,MAE,"(100, 100)",0.0,tanh,0.001,200,21.0,0.1833586808294058,0.365638051714216
1,1,DNN,0,CHEMBL1865,MSE,"(100, 100)",0.0,tanh,0.001,200,21.0,0.1833586808294058,0.365638051714216
5,5,DNN,0,CHEMBL1865,SERA,"(100, 100)",0.0,tanh,0.001,200,21.0,30.001911211013795,48.82677050999233
6,6,DNN,1,CHEMBL1865,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,73.0,0.1007915950380265,0.4367121223892484
7,7,DNN,1,CHEMBL1865,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,73.0,0.1007915950380265,0.4367121223892484
11,11,DNN,1,CHEMBL1865,SERA,"(250, 500)",0.0,tanh,0.01,200,85.0,17.73882875442505,58.11688150678362
12,12,DNN,2,CHEMBL1865,MAE,"(500, 250)",0.0,tanh,0.001,200,12.0,0.1919789098203182,0.4296889092241014
13,13,DNN,2,CHEMBL1865,MSE,"(500, 250)",0.0,tanh,0.001,200,12.0,0.1919789098203182,0.4296889092241014
17,17,DNN,2,CHEMBL1865,SERA,"(500, 250)",0.0,tanh,0.001,200,14.0,18.11949415206909,66.57482201712472
18,18,DNN,3,CHEMBL1865,MAE,"(500, 250)",0.0,tanh,0.01,200,45.0,0.095751750189811,0.4133301973342895
19,19,DNN,3,CHEMBL1865,MSE,"(500, 250)",0.0,tanh,0.01,200,45.0,0.095751750189811,0.4133301973342895
23,23,DNN,3,CHEMBL1865,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,44.0,5.463627964258194,59.37700659888132
24,24,DNN,4,CHEMBL1865,MAE,"(100, 100)",0.0,tanh,0.001,200,23.0,0.1274840664118528,0.435175746679306
25,25,DNN,4,CHEMBL1865,MSE,"(100, 100)",0.0,tanh,0.001,200,23.0,0.1274840664118528,0.435175746679306
29,29,DNN,4,CHEMBL1865,SERA,"(250, 500)",0.0,tanh,0.001,200,10.0,22.386167573928837,66.40484019688198
