,Target ID,Algorithm,Selection Metric,Metric,Value,trial
24,1865,XGBoost,SERA,MAE,0.4770492344420881,0
25,1865,XGBoost,SERA,MSE,0.3921992717852036,0
26,1865,XGBoost,SERA,R2,0.6018472203808825,0
27,1865,XGBoost,SERA,RMSE,0.6262581510728652,0
31,1865,XGBoost,SERA,SERA,0.0420088432729244,0
32,1865,XGBoost,MAE,MAE,0.1105786158433401,0
33,1865,XGBoost,MAE,MSE,0.054789922063756,0
34,1865,XGBoost,MAE,R2,0.9443783776917704,0
35,1865,XGBoost,MAE,RMSE,0.2340724718196398,0
39,1865,XGBoost,MAE,SERA,0.0157380290329456,0
40,1865,XGBoost,MSE,MAE,0.2019359180073554,0
41,1865,XGBoost,MSE,MSE,0.0729076255577251,0
42,1865,XGBoost,MSE,R2,0.9259856510209532,0
43,1865,XGBoost,MSE,RMSE,0.2700141210339287,0
47,1865,XGBoost,MSE,SERA,0.0150254694744944,0
72,1865,XGBoost,SERA,MAE,0.3727562453727142,1
73,1865,XGBoost,SERA,MSE,0.2559160902523674,1
74,1865,XGBoost,SERA,R2,0.7394985590963903,1
75,1865,XGBoost,SERA,RMSE,0.505881498230927,1
79,1865,XGBoost,SERA,SERA,0.0252442266792058,1
80,1865,XGBoost,MAE,MAE,0.1035562223923147,1
81,1865,XGBoost,MAE,MSE,0.0458087905439287,1
82,1865,XGBoost,MAE,R2,0.9533704350868392,1
83,1865,XGBoost,MAE,RMSE,0.2140298823620867,1
87,1865,XGBoost,MAE,SERA,0.0132384840399026,1
88,1865,XGBoost,MSE,MAE,0.0718611066357059,1
89,1865,XGBoost,MSE,MSE,0.0131556161498879,1
90,1865,XGBoost,MSE,R2,0.986608669428948,1
91,1865,XGBoost,MSE,RMSE,0.1146979343749831,1
95,1865,XGBoost,MSE,SERA,0.0031201364472508,1
120,1865,XGBoost,SERA,MAE,0.479271233566558,2
121,1865,XGBoost,SERA,MSE,0.4028088178297914,2
122,1865,XGBoost,SERA,R2,0.5899374587880821,2
123,1865,XGBoost,SERA,RMSE,0.6346722129018975,2
127,1865,XGBoost,SERA,SERA,0.0431802570819854,2
128,1865,XGBoost,MAE,MAE,0.1094662656105909,2
129,1865,XGBoost,MAE,MSE,0.0526730895447316,2
130,1865,XGBoost,MAE,R2,0.9463783810181572,2
131,1865,XGBoost,MAE,RMSE,0.2295061862885871,2
135,1865,XGBoost,MAE,SERA,0.0133652808144688,2
136,1865,XGBoost,MSE,MAE,0.2020645717355273,2
137,1865,XGBoost,MSE,MSE,0.0711045824983049,2
138,1865,XGBoost,MSE,R2,0.927614976384683,2
139,1865,XGBoost,MSE,RMSE,0.2666544252366813,2
143,1865,XGBoost,MSE,SERA,0.0144180199131369,2
168,1865,XGBoost,SERA,MAE,0.2408762188740129,3
169,1865,XGBoost,SERA,MSE,0.1111273317942806,3
170,1865,XGBoost,SERA,R2,0.8821434911049219,3
171,1865,XGBoost,SERA,RMSE,0.3333576634701543,3
175,1865,XGBoost,SERA,SERA,0.0105150518938899,3
176,1865,XGBoost,MAE,MAE,0.1038538164429698,3
177,1865,XGBoost,MAE,MSE,0.0497375641069091,3
178,1865,XGBoost,MAE,R2,0.9472506396766818,3
179,1865,XGBoost,MAE,RMSE,0.2230192012067775,3
183,1865,XGBoost,MAE,SERA,0.015029608272016,3
184,1865,XGBoost,MSE,MAE,0.1989913093610469,3
185,1865,XGBoost,MSE,MSE,0.0714813663573881,3
186,1865,XGBoost,MSE,R2,0.9241901685759234,3
187,1865,XGBoost,MSE,RMSE,0.2673599939358694,3
191,1865,XGBoost,MSE,SERA,0.0158059727400541,3
216,1865,XGBoost,SERA,MAE,0.4787521594569335,4
217,1865,XGBoost,SERA,MSE,0.3939769895268964,4
218,1865,XGBoost,SERA,R2,0.5972018749225176,4
219,1865,XGBoost,SERA,RMSE,0.6276758634254598,4
223,1865,XGBoost,SERA,SERA,0.0418303795158863,4
224,1865,XGBoost,MAE,MAE,0.1068104956202053,4
225,1865,XGBoost,MAE,MSE,0.0486017642418539,4
226,1865,XGBoost,MAE,R2,0.9503100433972425,4
227,1865,XGBoost,MAE,RMSE,0.2204580781959554,4
231,1865,XGBoost,MAE,SERA,0.0139419734477996,4
232,1865,XGBoost,MSE,MAE,0.2133093395032065,4
233,1865,XGBoost,MSE,MSE,0.0762360568232655,4
234,1865,XGBoost,MSE,R2,0.9220570196533892,4
235,1865,XGBoost,MSE,RMSE,0.2761087771572383,4
239,1865,XGBoost,MSE,SERA,0.0165618415921926,4
