,Unnamed: 0,model,trial,Target ID,Selection Metric,n_neighbors
3,3,kNN,0,CHEMBL1865,SERA,3
4,4,kNN,0,CHEMBL1865,MAE,5
5,5,kNN,0,CHEMBL1865,MSE,5
9,9,kNN,1,CHEMBL1865,SERA,3
10,10,kNN,1,CHEMBL1865,MAE,3
11,11,kNN,1,CHEMBL1865,MSE,3
15,15,kNN,2,CHEMBL1865,SERA,3
16,16,kNN,2,CHEMBL1865,MAE,3
17,17,kNN,2,CHEMBL1865,MSE,3
21,21,kNN,3,CHEMBL1865,SERA,3
22,22,kNN,3,CHEMBL1865,MAE,3
23,23,kNN,3,CHEMBL1865,MSE,3
27,27,kNN,4,CHEMBL1865,SERA,3
28,28,kNN,4,CHEMBL1865,MAE,3
29,29,kNN,4,CHEMBL1865,MSE,3
