,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,220,GCN,Oracle,MAE,0.5248035468670705,0
1,220,GCN,Oracle,MSE,0.3661160924176645,0
2,220,GCN,Oracle,R2,0.7153788144990183,0
3,220,GCN,Oracle,RMSE,0.6050752783064802,0
7,220,GCN,Oracle,SERA,0.0443789698183536,0
8,220,GCN,Oracle,MAE,0.5237162373302507,1
9,220,GCN,Oracle,MSE,0.3305413144853661,1
10,220,GCN,Oracle,R2,0.7473517330435833,1
11,220,GCN,Oracle,RMSE,0.5749272253819314,1
15,220,GCN,Oracle,SERA,0.055302757769823,1
16,220,GCN,Oracle,MAE,0.9074516704431012,2
17,220,GCN,Oracle,MSE,0.906304626993385,2
18,220,GCN,Oracle,R2,0.3033571933727188,2
19,220,GCN,Oracle,RMSE,0.9520003293031916,2
23,220,GCN,Oracle,SERA,0.144783541560173,2
24,220,GCN,Oracle,MAE,0.280578217376422,3
25,220,GCN,Oracle,MSE,0.129467432483612,3
26,220,GCN,Oracle,R2,0.8984293355778153,3
27,220,GCN,Oracle,RMSE,0.359815831340996,3
31,220,GCN,Oracle,SERA,0.0218056645244359,3
32,220,GCN,Oracle,MAE,0.5277252762021937,4
33,220,GCN,Oracle,MSE,0.3496607356881151,4
34,220,GCN,Oracle,R2,0.7449802795426255,4
35,220,GCN,Oracle,RMSE,0.5913211781156794,4
39,220,GCN,Oracle,SERA,0.0604279413819313,4
40,220,DNN,Oracle,MAE,0.1989392573360473,0
41,220,DNN,Oracle,MSE,0.0738059663603479,0
42,220,DNN,Oracle,R2,0.9426227306649952,0
43,220,DNN,Oracle,RMSE,0.2716725351601592,0
47,220,DNN,Oracle,SERA,0.0144759202376008,0
48,220,DNN,Oracle,MAE,0.1646212011392682,1
49,220,DNN,Oracle,MSE,0.0615491045402797,1
50,220,DNN,Oracle,R2,0.9529551256882006,1
51,220,DNN,Oracle,RMSE,0.2480909199069562,1
55,220,DNN,Oracle,SERA,0.0111633324995636,1
56,220,DNN,Oracle,MAE,0.1349655716277952,2
57,220,DNN,Oracle,MSE,0.042127639199773,2
58,220,DNN,Oracle,R2,0.9676180437188416,2
59,220,DNN,Oracle,RMSE,0.2052501868446726,2
63,220,DNN,Oracle,SERA,0.0068344436585903,2
64,220,DNN,Oracle,MAE,0.3670161443454477,3
65,220,DNN,Oracle,MSE,0.2195500896926795,3
66,220,DNN,Oracle,R2,0.8277570810183603,3
67,220,DNN,Oracle,RMSE,0.4685617245280279,3
71,220,DNN,Oracle,SERA,0.0325124040246009,3
72,220,DNN,Oracle,MAE,0.4494385536234315,4
73,220,DNN,Oracle,MSE,0.25091891577121,4
74,220,DNN,Oracle,R2,0.8169961187334523,4
75,220,DNN,Oracle,RMSE,0.5009180729133359,4
79,220,DNN,Oracle,SERA,0.0346339158713817,4
80,220,XGBoost,Oracle,MAE,0.2109446557042791,0
81,220,XGBoost,Oracle,MSE,0.0831120365890442,0
82,220,XGBoost,Oracle,R2,0.9353881272271728,0
83,220,XGBoost,Oracle,RMSE,0.2882915825844456,0
87,220,XGBoost,Oracle,SERA,0.0168571192771196,0
88,220,XGBoost,Oracle,MAE,0.2869591220335623,1
89,220,XGBoost,Oracle,MSE,0.1422061088159027,1
90,220,XGBoost,Oracle,R2,0.8913051852568219,1
91,220,XGBoost,Oracle,RMSE,0.3771022524672887,1
95,220,XGBoost,Oracle,SERA,0.0301153566688299,1
96,220,XGBoost,Oracle,MAE,0.2130683455690928,2
97,220,XGBoost,Oracle,MSE,0.0828762549019684,2
98,220,XGBoost,Oracle,R2,0.9362960917355144,2
99,220,XGBoost,Oracle,RMSE,0.287882362957456,2
103,220,XGBoost,Oracle,SERA,0.0158672761172056,2
104,220,XGBoost,Oracle,MAE,0.117102184072619,3
105,220,XGBoost,Oracle,MSE,0.0313305922620491,3
106,220,XGBoost,Oracle,R2,0.9754203121839178,3
107,220,XGBoost,Oracle,RMSE,0.1770044978582441,3
111,220,XGBoost,Oracle,SERA,0.0063660875894129,3
112,220,XGBoost,Oracle,MAE,0.2735593867660205,4
113,220,XGBoost,Oracle,MSE,0.1296469093213331,4
114,220,XGBoost,Oracle,R2,0.9054440055780826,4
115,220,XGBoost,Oracle,RMSE,0.3600651459407494,4
119,220,XGBoost,Oracle,SERA,0.0276191234588623,4
120,220,SVR,Oracle,MAE,0.1124887697460102,0
121,220,SVR,Oracle,MSE,0.0299510368643306,0
122,220,SVR,Oracle,R2,0.976715856538793,0
123,220,SVR,Oracle,RMSE,0.1730636786397732,0
127,220,SVR,Oracle,SERA,0.0070067667402327,0
128,220,SVR,Oracle,MAE,0.1254853404487754,1
129,220,SVR,Oracle,MSE,0.0395993592151991,1
130,220,SVR,Oracle,R2,0.9697323480004868,1
131,220,SVR,Oracle,RMSE,0.1989958773824201,1
135,220,SVR,Oracle,SERA,0.0092957150191068,1
136,220,SVR,Oracle,MAE,0.1200786462468136,2
137,220,SVR,Oracle,MSE,0.0347290224880627,2
138,220,SVR,Oracle,R2,0.9733050864169508,2
139,220,SVR,Oracle,RMSE,0.1863572442596819,2
143,220,SVR,Oracle,SERA,0.0072301402688026,2
