,Unnamed: 0,model,trial,Target ID,SelectionMetric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func
15,15,GCN,0,CHEMBL260,SERA,200,0.001,1,"[64, 64]",256,0.0,regression,30,<__main__.SeraLoss object at 0x14b050e61b50>
16,16,GCN,1,CHEMBL260,SERA,100,0.001,1,"[64, 64]",512,0.0,regression,30,<__main__.SeraLoss object at 0x14b0b0319970>
17,17,GCN,2,CHEMBL260,SERA,200,0.001,1,"[512, 512]",64,0.0,regression,30,<__main__.SeraLoss object at 0x14b050e66130>
18,18,GCN,3,CHEMBL260,SERA,200,0.001,1,"[512, 512]",1024,0.0,regression,30,<__main__.SeraLoss object at 0x14b04db0cbb0>
19,19,GCN,4,CHEMBL260,SERA,200,0.001,1,"[256, 256]",64,0.0,regression,30,<__main__.SeraLoss object at 0x14b04db0ceb0>
20,20,GCN,0,CHEMBL260,MSE,200,0.001,1,"[512, 512]",256,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b04db0c9a0>
21,21,GCN,1,CHEMBL260,MSE,200,0.001,1,"[1024, 1024]",256,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b050e74dc0>
22,22,GCN,2,CHEMBL260,MSE,100,0.001,1,"[512, 512]",512,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b0c56e9700>
23,23,GCN,3,CHEMBL260,MSE,100,0.001,1,"[512, 512]",64,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b19b00d820>
24,24,GCN,4,CHEMBL260,MSE,200,0.001,1,"[512, 512]",256,0.0,regression,30,<deepchem.models.losses.L2Loss object at 0x14b050e66b80>
25,25,GCN,0,CHEMBL260,MAE,200,0.001,1,"[64, 64]",512,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b050e66340>
26,26,GCN,1,CHEMBL260,MAE,100,0.001,1,"[256, 256]",64,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b0c5696a00>
27,27,GCN,2,CHEMBL260,MAE,100,0.001,1,"[256, 256]",512,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b19b2c2f70>
28,28,GCN,3,CHEMBL260,MAE,200,0.001,1,"[64, 64]",64,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b04dc35c10>
29,29,GCN,4,CHEMBL260,MAE,100,0.001,1,"[64, 64]",64,0.0,regression,30,<deepchem.models.losses.L1Loss object at 0x14b050e20310>
