,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,262,DNN,MAE,MAE,0.3536979604308314,0
1,262,DNN,MAE,MSE,0.2159489392362472,0
2,262,DNN,MAE,R2,0.8132587147418153,0
3,262,DNN,MAE,RMSE,0.4647030656626307,0
7,262,DNN,MAE,SERA,0.057451881468296,0
8,262,DNN,MSE,MAE,0.3536979604308314,0
9,262,DNN,MSE,MSE,0.2159489392362472,0
10,262,DNN,MSE,R2,0.8132587147418153,0
11,262,DNN,MSE,RMSE,0.4647030656626307,0
15,262,DNN,MSE,SERA,0.057451881468296,0
40,262,DNN,SERA,MAE,0.1077825274734949,0
41,262,DNN,SERA,MSE,0.0223850847347456,0
42,262,DNN,SERA,R2,0.9806425560191956,0
43,262,DNN,SERA,RMSE,0.1496164587695674,0
47,262,DNN,SERA,SERA,0.0046570282429456,0
48,262,DNN,MAE,MAE,0.2811572874932163,1
49,262,DNN,MAE,MSE,0.1449502480182759,1
50,262,DNN,MAE,R2,0.8750486158525328,1
51,262,DNN,MAE,RMSE,0.3807233221360045,1
55,262,DNN,MAE,SERA,0.0483563244342803,1
56,262,DNN,MSE,MAE,0.2811572874932163,1
57,262,DNN,MSE,MSE,0.1449502480182759,1
58,262,DNN,MSE,R2,0.8750486158525328,1
59,262,DNN,MSE,RMSE,0.3807233221360045,1
63,262,DNN,MSE,SERA,0.0483563244342803,1
88,262,DNN,SERA,MAE,0.2518138571791239,1
89,262,DNN,SERA,MSE,0.1216526424381779,1
90,262,DNN,SERA,R2,0.8951318382295511,1
91,262,DNN,SERA,RMSE,0.3487873885882028,1
95,262,DNN,SERA,SERA,0.0391927994787693,1
96,262,DNN,MAE,MAE,0.2879428175990086,2
97,262,DNN,MAE,MSE,0.1583873200147759,2
98,262,DNN,MAE,R2,0.8667999824379966,2
99,262,DNN,MAE,RMSE,0.397979044693029,2
103,262,DNN,MAE,SERA,0.0527620762586593,2
104,262,DNN,MSE,MAE,0.2879428175990086,2
105,262,DNN,MSE,MSE,0.1583873200147759,2
106,262,DNN,MSE,R2,0.8667999824379966,2
107,262,DNN,MSE,RMSE,0.397979044693029,2
111,262,DNN,MSE,SERA,0.0527620762586593,2
136,262,DNN,SERA,MAE,0.2380871619242451,2
137,262,DNN,SERA,MSE,0.1059928973572158,2
138,262,DNN,SERA,R2,0.9108624617923224,2
139,262,DNN,SERA,RMSE,0.3255655039423185,2
143,262,DNN,SERA,SERA,0.0267651695758104,2
144,262,DNN,MAE,MAE,0.2986675150403963,3
145,262,DNN,MAE,MSE,0.1563040875246244,3
146,262,DNN,MAE,R2,0.8695291085357781,3
147,262,DNN,MAE,RMSE,0.395353117509682,3
151,262,DNN,MAE,SERA,0.0352564491331577,3
152,262,DNN,MSE,MAE,0.2986675150403963,3
153,262,DNN,MSE,MSE,0.1563040875246244,3
154,262,DNN,MSE,R2,0.8695291085357781,3
155,262,DNN,MSE,RMSE,0.395353117509682,3
159,262,DNN,MSE,SERA,0.0352564491331577,3
184,262,DNN,SERA,MAE,0.2210922983983809,3
185,262,DNN,SERA,MSE,0.0921554609974473,3
186,262,DNN,SERA,R2,0.923075555220275,3
187,262,DNN,SERA,RMSE,0.3035711794578782,3
191,262,DNN,SERA,SERA,0.0256137959659099,3
192,262,DNN,MAE,MAE,0.3813417370519053,4
193,262,DNN,MAE,MSE,0.1747473483014426,4
194,262,DNN,MAE,R2,0.8524477437993953,4
195,262,DNN,MAE,RMSE,0.418027927657283,4
199,262,DNN,MAE,SERA,0.0210370868444442,4
200,262,DNN,MSE,MAE,0.3813417370519053,4
201,262,DNN,MSE,MSE,0.1747473483014426,4
202,262,DNN,MSE,R2,0.8524477437993953,4
203,262,DNN,MSE,RMSE,0.418027927657283,4
207,262,DNN,MSE,SERA,0.0210370868444442,4
232,262,DNN,SERA,MAE,0.421568608624198,4
233,262,DNN,SERA,MSE,0.3045676112177789,4
234,262,DNN,SERA,R2,0.7428307860598254,4
235,262,DNN,SERA,RMSE,0.5518764456087784,4
239,262,DNN,SERA,SERA,0.100844994187355,4
