,Target ID,Algorithm,Selection Metric,Metric,Value,trial
120,262,GCN,SERA,MAE,0.4522518863399737,0
121,262,GCN,SERA,MSE,0.2716809756450902,0
122,262,GCN,SERA,R2,0.7650645807680543,0
123,262,GCN,SERA,RMSE,0.5212302520432694,0
127,262,GCN,SERA,SERA,0.0608242601156234,0
128,262,GCN,SERA,MAE,0.2734196261372372,1
129,262,GCN,SERA,MSE,0.1143603822634201,1
130,262,GCN,SERA,R2,0.9014179813362848,1
131,262,GCN,SERA,RMSE,0.338172119287531,1
135,262,GCN,SERA,SERA,0.0172652639448642,1
136,262,GCN,SERA,MAE,1.941080980890168,2
137,262,GCN,SERA,MSE,3.859987179057231,2
138,262,GCN,SERA,R2,-2.246158593955411,2
139,262,GCN,SERA,RMSE,1.9646850075921156,2
143,262,GCN,SERA,SERA,0.6814683675765991,2
144,262,GCN,SERA,MAE,0.302547562625546,3
145,262,GCN,SERA,MSE,0.1464321680142682,3
146,262,GCN,SERA,R2,0.8777694441493704,3
147,262,GCN,SERA,RMSE,0.3826645633113527,3
151,262,GCN,SERA,SERA,0.0231616869568824,3
152,262,GCN,SERA,MAE,1.0213507537945714,4
153,262,GCN,SERA,MSE,1.1317820492900987,4
154,262,GCN,SERA,R2,0.0443517654297965,4
155,262,GCN,SERA,RMSE,1.063852456541836,4
159,262,GCN,SERA,SERA,0.2443210482597351,4
160,262,GCN,MSE,MAE,0.2424874708421909,0
161,262,GCN,MSE,MSE,0.0889805944165002,0
162,262,GCN,MSE,R2,0.9230542617012056,0
163,262,GCN,MSE,RMSE,0.2982961521986166,0
167,262,GCN,MSE,SERA,0.0229492802172899,0
168,262,GCN,MSE,MAE,0.4553473301722509,1
169,262,GCN,MSE,MSE,0.2511319560219935,1
170,262,GCN,MSE,R2,0.7835168553512751,1
171,262,GCN,MSE,RMSE,0.5011306775901806,1
175,262,GCN,MSE,SERA,0.0344822295010089,1
176,262,GCN,MSE,MAE,0.1619173153890379,2
177,262,GCN,MSE,MSE,0.0411268711678207,2
178,262,GCN,MSE,R2,0.9654132669123202,2
179,262,GCN,MSE,RMSE,0.2027976113464377,2
183,262,GCN,MSE,SERA,0.0091976318508386,2
184,262,GCN,MSE,MAE,0.2654806016771517,3
185,262,GCN,MSE,MSE,0.1069866893213196,3
186,262,GCN,MSE,R2,0.9106955617628408,3
187,262,GCN,MSE,RMSE,0.3270881980770931,3
191,262,GCN,MSE,SERA,0.0261997394263744,3
192,262,GCN,MSE,MAE,1.098737656582931,4
193,262,GCN,MSE,MSE,1.2862411048051705,4
194,262,GCN,MSE,R2,-0.0860695677314296,4
195,262,GCN,MSE,RMSE,1.1341257006192789,4
199,262,GCN,MSE,SERA,0.1913596391677856,4
200,262,GCN,MAE,MAE,0.3731244442363426,0
201,262,GCN,MAE,MSE,0.2132442104292546,0
202,262,GCN,MAE,R2,0.8155976219644161,0
203,262,GCN,MAE,RMSE,0.4617837268995678,0
207,262,GCN,MAE,SERA,0.0612573996186256,0
208,262,GCN,MAE,MAE,0.2914169598921949,1
209,262,GCN,MAE,MSE,0.1661136217290413,1
210,262,GCN,MAE,R2,0.8568051642231376,1
211,262,GCN,MAE,RMSE,0.4075703886803374,1
215,262,GCN,MAE,SERA,0.0406342037022113,1
216,262,GCN,MAE,MAE,0.2119846672107062,2
217,262,GCN,MAE,MSE,0.0834277485864284,2
218,262,GCN,MAE,R2,0.9298392221306984,2
219,262,GCN,MAE,RMSE,0.2888386203166544,2
223,262,GCN,MAE,SERA,0.0236222892999649,2
224,262,GCN,MAE,MAE,0.2466293008266692,3
225,262,GCN,MAE,MSE,0.1042456190508042,3
226,262,GCN,MAE,R2,0.9129836009780912,3
227,262,GCN,MAE,RMSE,0.3228709015238199,3
231,262,GCN,MAE,SERA,0.0315705351531505,3
232,262,GCN,MAE,MAE,0.3404970604741743,4
233,262,GCN,MAE,MSE,0.1717722229011039,4
234,262,GCN,MAE,R2,0.8549598646960308,4
235,262,GCN,MAE,RMSE,0.4144541264134114,4
239,262,GCN,MAE,SERA,0.0513461381196975,4
