,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,279,MR,MAE,MAE,0.9236970240329389,0
1,279,MR,MAE,MSE,1.2375165669635018,0
2,279,MR,MAE,R2,-0.0020983465595649,0
3,279,MR,MAE,RMSE,1.1124372193357708,0
7,279,MR,MAE,SERA,0.4286251962184906,0
8,279,MR,MSE,MAE,0.9236970240329389,0
9,279,MR,MSE,MSE,1.2375165669635018,0
10,279,MR,MSE,R2,-0.0020983465595649,0
11,279,MR,MSE,RMSE,1.1124372193357708,0
15,279,MR,MSE,SERA,0.4286251962184906,0
40,279,MR,SERA,MAE,0.9236970240329389,0
41,279,MR,SERA,MSE,1.2375165669635018,0
42,279,MR,SERA,R2,-0.0020983465595649,0
43,279,MR,SERA,RMSE,1.1124372193357708,0
47,279,MR,SERA,SERA,0.4286251962184906,0
48,279,MR,MAE,MAE,0.907225155786224,1
49,279,MR,MAE,MSE,1.1942750368249782,1
50,279,MR,MAE,R2,-0.0018016547045149,1
51,279,MR,MAE,RMSE,1.0928289147094243,1
55,279,MR,MAE,SERA,0.4013600647449493,1
56,279,MR,MSE,MAE,0.907225155786224,1
57,279,MR,MSE,MSE,1.1942750368249782,1
58,279,MR,MSE,R2,-0.0018016547045149,1
59,279,MR,MSE,RMSE,1.0928289147094243,1
63,279,MR,MSE,SERA,0.4013600647449493,1
88,279,MR,SERA,MAE,0.907225155786224,1
89,279,MR,SERA,MSE,1.1942750368249782,1
90,279,MR,SERA,R2,-0.0018016547045149,1
91,279,MR,SERA,RMSE,1.0928289147094243,1
95,279,MR,SERA,SERA,0.4013600647449493,1
96,279,MR,MAE,MAE,0.9225273822296964,2
97,279,MR,MAE,MSE,1.232225125467039,2
98,279,MR,MAE,R2,-0.0016442248693857,2
99,279,MR,MAE,RMSE,1.1100563613920869,2
103,279,MR,MAE,SERA,0.418950080871582,2
104,279,MR,MSE,MAE,0.9225273822296964,2
105,279,MR,MSE,MSE,1.232225125467039,2
106,279,MR,MSE,R2,-0.0016442248693857,2
107,279,MR,MSE,RMSE,1.1100563613920869,2
111,279,MR,MSE,SERA,0.418950080871582,2
136,279,MR,SERA,MAE,0.9225273822296964,2
137,279,MR,SERA,MSE,1.232225125467039,2
138,279,MR,SERA,R2,-0.0016442248693857,2
139,279,MR,SERA,RMSE,1.1100563613920869,2
143,279,MR,SERA,SERA,0.418950080871582,2
144,279,MR,MAE,MAE,0.9150926673114198,3
145,279,MR,MAE,MSE,1.20976729280526,3
146,279,MR,MAE,R2,-0.001851337662676,3
147,279,MR,MAE,RMSE,1.099894218916192,3
151,279,MR,MAE,SERA,0.4084833562374115,3
152,279,MR,MSE,MAE,0.9150926673114198,3
153,279,MR,MSE,MSE,1.20976729280526,3
154,279,MR,MSE,R2,-0.001851337662676,3
155,279,MR,MSE,RMSE,1.099894218916192,3
159,279,MR,MSE,SERA,0.4084833562374115,3
184,279,MR,SERA,MAE,0.9150926673114198,3
185,279,MR,SERA,MSE,1.20976729280526,3
186,279,MR,SERA,R2,-0.001851337662676,3
187,279,MR,SERA,RMSE,1.099894218916192,3
191,279,MR,SERA,SERA,0.4084833562374115,3
192,279,MR,MAE,MAE,0.9134108240669236,4
193,279,MR,MAE,MSE,1.2121940792806982,4
194,279,MR,MAE,R2,-0.0023663250653638,4
195,279,MR,MAE,RMSE,1.1009968570712172,4
199,279,MR,MAE,SERA,0.4065954089164734,4
200,279,MR,MSE,MAE,0.9134108240669236,4
201,279,MR,MSE,MSE,1.2121940792806982,4
202,279,MR,MSE,R2,-0.0023663250653638,4
203,279,MR,MSE,RMSE,1.1009968570712172,4
207,279,MR,MSE,SERA,0.4065954089164734,4
232,279,MR,SERA,MAE,0.9134108240669236,4
233,279,MR,SERA,MSE,1.2121940792806982,4
234,279,MR,SERA,R2,-0.0023663250653638,4
235,279,MR,SERA,RMSE,1.1009968570712172,4
239,279,MR,SERA,SERA,0.4065954089164734,4
