,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,279,SVR,MAE,MAE,0.0930133697815669,0
1,279,SVR,MAE,MSE,0.0092900492610693,0
2,279,SVR,MAE,R2,0.992477237677054,0
3,279,SVR,MAE,RMSE,0.0963849016240061,0
7,279,SVR,MAE,SERA,0.00168872193899,0
8,279,SVR,MSE,MAE,0.0930133697815669,0
9,279,SVR,MSE,MSE,0.0092900492610693,0
10,279,SVR,MSE,R2,0.992477237677054,0
11,279,SVR,MSE,RMSE,0.0963849016240061,0
15,279,SVR,MSE,SERA,0.00168872193899,0
40,279,SVR,SERA,MAE,0.0930133697815669,0
41,279,SVR,SERA,MSE,0.0092900492610693,0
42,279,SVR,SERA,R2,0.992477237677054,0
43,279,SVR,SERA,RMSE,0.0963849016240061,0
47,279,SVR,SERA,SERA,0.00168872193899,0
48,279,SVR,MAE,MAE,0.0985920193329591,1
49,279,SVR,MAE,MSE,0.0137025526325917,1
50,279,SVR,MAE,R2,0.9885057968409852,1
51,279,SVR,MAE,RMSE,0.1170579029053216,1
55,279,SVR,MAE,SERA,0.0026387383695691,1
56,279,SVR,MSE,MAE,0.0985920193329591,1
57,279,SVR,MSE,MSE,0.0137025526325917,1
58,279,SVR,MSE,R2,0.9885057968409852,1
59,279,SVR,MSE,RMSE,0.1170579029053216,1
63,279,SVR,MSE,SERA,0.0026387383695691,1
88,279,SVR,SERA,MAE,0.0931621880906211,1
89,279,SVR,SERA,MSE,0.0091320399776241,1
90,279,SVR,SERA,R2,0.992339710302634,1
91,279,SVR,SERA,RMSE,0.0955617076952068,1
95,279,SVR,SERA,SERA,0.0016037666937336,1
96,279,SVR,MAE,MAE,0.0999049483036508,2
97,279,SVR,MAE,MSE,0.015453375237453,2
98,279,SVR,MAE,R2,0.9874383473105472,2
99,279,SVR,MAE,RMSE,0.124311605401318,2
103,279,SVR,MAE,SERA,0.0032084854319691,2
104,279,SVR,MSE,MAE,0.0999049483036508,2
105,279,SVR,MSE,MSE,0.015453375237453,2
106,279,SVR,MSE,R2,0.9874383473105472,2
107,279,SVR,MSE,RMSE,0.124311605401318,2
111,279,SVR,MSE,SERA,0.0032084854319691,2
136,279,SVR,SERA,MAE,0.0999049483036508,2
137,279,SVR,SERA,MSE,0.015453375237453,2
138,279,SVR,SERA,R2,0.9874383473105472,2
139,279,SVR,SERA,RMSE,0.124311605401318,2
143,279,SVR,SERA,SERA,0.0032084854319691,2
144,279,SVR,MAE,MAE,0.0974231897573403,3
145,279,SVR,MAE,MSE,0.0138671061701666,3
146,279,SVR,MAE,R2,0.9885161560006498,3
147,279,SVR,MAE,RMSE,0.1177586776851993,3
151,279,SVR,MAE,SERA,0.0027848370373249,3
152,279,SVR,MSE,MAE,0.0974231897573403,3
153,279,SVR,MSE,MSE,0.0138671061701666,3
154,279,SVR,MSE,R2,0.9885161560006498,3
155,279,SVR,MSE,RMSE,0.1177586776851993,3
159,279,SVR,MSE,SERA,0.0027848370373249,3
184,279,SVR,SERA,MAE,0.0974231897573403,3
185,279,SVR,SERA,MSE,0.0138671061701666,3
186,279,SVR,SERA,R2,0.9885161560006498,3
187,279,SVR,SERA,RMSE,0.1177586776851993,3
191,279,SVR,SERA,SERA,0.0027848370373249,3
192,279,SVR,MAE,MAE,0.0930012194426482,4
193,279,SVR,MAE,MSE,0.0092832144321156,4
194,279,SVR,MAE,R2,0.9923236866982263,4
195,279,SVR,MAE,RMSE,0.0963494391894194,4
199,279,SVR,MAE,SERA,0.0016011069528758,4
200,279,SVR,MSE,MAE,0.0930012194426482,4
201,279,SVR,MSE,MSE,0.0092832144321156,4
202,279,SVR,MSE,R2,0.9923236866982263,4
203,279,SVR,MSE,RMSE,0.0963494391894194,4
207,279,SVR,MSE,SERA,0.0016011069528758,4
232,279,SVR,SERA,MAE,0.0930012194426482,4
233,279,SVR,SERA,MSE,0.0092832144321156,4
234,279,SVR,SERA,R2,0.9923236866982263,4
235,279,SVR,SERA,RMSE,0.0963494391894194,4
239,279,SVR,SERA,SERA,0.0016011069528758,4
