,Target ID,Algorithm,Selection Metric,Metric,Value,trial
0,279,kNN,MAE,MAE,0.3664376791470308,0
1,279,kNN,MAE,MSE,0.2573684532328075,0
2,279,kNN,MAE,R2,0.7915918797967934,0
3,279,kNN,MAE,RMSE,0.5073149448151587,0
7,279,kNN,MAE,SERA,0.0494460724294185,0
8,279,kNN,MSE,MAE,0.4484445185184558,0
9,279,kNN,MSE,MSE,0.3588103415544907,0
10,279,kNN,MSE,R2,0.7094477281362872,0
11,279,kNN,MSE,RMSE,0.5990077975740306,0
15,279,kNN,MSE,SERA,0.0749299377202987,0
40,279,kNN,SERA,MAE,0.3664376791470308,0
41,279,kNN,SERA,MSE,0.2573684532328075,0
42,279,kNN,SERA,R2,0.7915918797967934,0
43,279,kNN,SERA,RMSE,0.5073149448151587,0
47,279,kNN,SERA,SERA,0.0494460724294185,0
48,279,kNN,MAE,MAE,0.439123016487992,1
49,279,kNN,MAE,MSE,0.3491240850326765,1
50,279,kNN,MAE,R2,0.7071419268606953,1
51,279,kNN,MAE,RMSE,0.5908672313072342,1
55,279,kNN,MAE,SERA,0.0711628347635269,1
56,279,kNN,MSE,MAE,0.439123016487992,1
57,279,kNN,MSE,MSE,0.3491240850326765,1
58,279,kNN,MSE,R2,0.7071419268606953,1
59,279,kNN,MSE,RMSE,0.5908672313072342,1
63,279,kNN,MSE,SERA,0.0711628347635269,1
88,279,kNN,SERA,MAE,0.439123016487992,1
89,279,kNN,SERA,MSE,0.3491240850326765,1
90,279,kNN,SERA,R2,0.7071419268606953,1
91,279,kNN,SERA,RMSE,0.5908672313072342,1
95,279,kNN,SERA,SERA,0.0711628347635269,1
96,279,kNN,MAE,MAE,0.4432484274748149,2
97,279,kNN,MAE,MSE,0.3611292501100404,2
98,279,kNN,MAE,R2,0.7064472876520569,2
99,279,kNN,MAE,RMSE,0.6009403049472056,2
103,279,kNN,MAE,SERA,0.0756465196609497,2
104,279,kNN,MSE,MAE,0.4432484274748149,2
105,279,kNN,MSE,MSE,0.3611292501100404,2
106,279,kNN,MSE,R2,0.7064472876520569,2
107,279,kNN,MSE,RMSE,0.6009403049472056,2
111,279,kNN,MSE,SERA,0.0756465196609497,2
136,279,kNN,SERA,MAE,0.3637141485629384,2
137,279,kNN,SERA,MSE,0.2576750191922041,2
138,279,kNN,SERA,R2,0.7905425806269333,2
139,279,kNN,SERA,RMSE,0.5076170004956533,2
143,279,kNN,SERA,SERA,0.0515227206051349,2
144,279,kNN,MAE,MAE,0.3521886767373529,3
145,279,kNN,MAE,MSE,0.2407657402415905,3
146,279,kNN,MAE,R2,0.8006133242658178,3
147,279,kNN,MAE,RMSE,0.4906788565259262,3
151,279,kNN,MAE,SERA,0.0443125925958156,3
152,279,kNN,MSE,MAE,0.4269372998805989,3
153,279,kNN,MSE,MSE,0.329068353831852,3
154,279,kNN,MSE,R2,0.7274867882198852,3
155,279,kNN,MSE,RMSE,0.5736447976159569,3
159,279,kNN,MSE,SERA,0.0687446668744087,3
184,279,kNN,SERA,MAE,0.4269372998805989,3
185,279,kNN,SERA,MSE,0.329068353831852,3
186,279,kNN,SERA,R2,0.7274867882198852,3
187,279,kNN,SERA,RMSE,0.5736447976159569,3
191,279,kNN,SERA,SERA,0.0687446668744087,3
192,279,kNN,MAE,MAE,0.3748912342354984,4
193,279,kNN,MAE,MSE,0.2677341248106713,4
194,279,kNN,MAE,R2,0.7786099805566529,4
195,279,kNN,MAE,RMSE,0.517430309134159,4
199,279,kNN,MAE,SERA,0.0531038790941238,4
200,279,kNN,MSE,MAE,0.4520282488439689,4
201,279,kNN,MSE,MSE,0.3685769768118106,4
202,279,kNN,MSE,R2,0.6952227732626914,4
203,279,kNN,MSE,RMSE,0.6071054083203432,4
207,279,kNN,MSE,SERA,0.0774288773536682,4
232,279,kNN,SERA,MAE,0.4520282488439689,4
233,279,kNN,SERA,MSE,0.3685769768118106,4
234,279,kNN,SERA,R2,0.6952227732626914,4
235,279,kNN,SERA,RMSE,0.6071054083203432,4
239,279,kNN,SERA,SERA,0.0774288773536682,4
