,Unnamed: 0,model,trial,Target ID,Selection Metric,strategy
0,0,MR,0,CHEMBL4005,MAE,median
1,1,MR,0,CHEMBL4005,MSE,median
5,5,MR,0,CHEMBL4005,SERA,median
6,6,MR,1,CHEMBL4005,MAE,median
7,7,MR,1,CHEMBL4005,MSE,median
11,11,MR,1,CHEMBL4005,SERA,median
12,12,MR,2,CHEMBL4005,MAE,median
13,13,MR,2,CHEMBL4005,MSE,median
17,17,MR,2,CHEMBL4005,SERA,median
18,18,MR,3,CHEMBL4005,MAE,median
19,19,MR,3,CHEMBL4005,MSE,median
23,23,MR,3,CHEMBL4005,SERA,median
24,24,MR,4,CHEMBL4005,MAE,median
25,25,MR,4,CHEMBL4005,MSE,median
29,29,MR,4,CHEMBL4005,SERA,median
