,Unnamed: 0,model,trial,Target ID,Selection Metric,C,kernel
0,0,SVR,0,CHEMBL4822,MAE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
1,1,SVR,0,CHEMBL4822,MSE,10000,<function tanimoto_from_sparse at 0x1533ce553dc0>
5,5,SVR,0,CHEMBL4822,SERA,100,<function tanimoto_from_sparse at 0x1533ce553dc0>
6,6,SVR,1,CHEMBL4822,MAE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
7,7,SVR,1,CHEMBL4822,MSE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
11,11,SVR,1,CHEMBL4822,SERA,100,<function tanimoto_from_sparse at 0x1533ce553dc0>
12,12,SVR,2,CHEMBL4822,MAE,10000,<function tanimoto_from_sparse at 0x1533ce553dc0>
13,13,SVR,2,CHEMBL4822,MSE,100,<function tanimoto_from_sparse at 0x1533ce553dc0>
17,17,SVR,2,CHEMBL4822,SERA,10000,<function tanimoto_from_sparse at 0x1533ce553dc0>
18,18,SVR,3,CHEMBL4822,MAE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
19,19,SVR,3,CHEMBL4822,MSE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
23,23,SVR,3,CHEMBL4822,SERA,100,<function tanimoto_from_sparse at 0x1533ce553dc0>
24,24,SVR,4,CHEMBL4822,MAE,10000,<function tanimoto_from_sparse at 0x1533ce553dc0>
25,25,SVR,4,CHEMBL4822,MSE,10,<function tanimoto_from_sparse at 0x1533ce553dc0>
29,29,SVR,4,CHEMBL4822,SERA,100,<function tanimoto_from_sparse at 0x1533ce553dc0>
